,model,img_size,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,640,fp16,2.6667098522186277,1.8719992160797119,4.538709068298339,36.72495875358582,41.26366782188416,24.23439439064238,264
1,yolov5n,640,fp32,2.4528918266296387,1.9628983497619628,4.415790176391601,46.70545663833618,51.12124681472778,19.561338236216585,317
2,yolov5s,640,fp16,2.418923568725586,2.2657700061798094,4.6846935749053955,60.5124538898468,65.1971474647522,15.33809436280374,392
3,yolov5s,640,fp32,2.7964094161987307,2.6405574321746825,5.436966848373413,103.14146599769593,108.57843284606935,9.20993215492151,630
4,yolov5m,640,fp16,2.7407655715942383,2.7519044876098633,5.492670059204102,129.13474621772767,134.62741627693177,7.427907536626688,769
5,yolov5m,640,fp32,2.755106210708618,2.947238540649414,5.702344751358032,236.46525044441225,242.16759519577028,4.129371641121479,1308
6,yolov5l,640,fp16,2.894906616210937,2.986107540130615,5.881014156341552,247.30218844413756,253.1832026004791,3.9497091028506794,1367
7,yolov5l,640,fp32,2.868930530548096,2.743637228012085,5.61256775856018,500.65834760665894,506.2709153652191,1.9752270368496465,2645
8,yolov5n6,1280,fp16,9.509152030944824,5.035634231567383,14.544786262512208,152.95683593750002,167.5016222000122,5.97009143473195,948
9,yolov5n6,1280,fp32,8.876419830322266,6.138468313217164,15.01488814353943,221.85364179611204,236.8685299396515,4.221751197825968,1303
10,yolov5s6,1280,fp16,9.510128498077393,6.670228481292725,16.180356979370117,280.7048154830933,296.8851724624634,3.36830563717841,1623
11,yolov5s6,1280,fp32,10.120705795288085,6.310563039779663,16.431268835067748,529.2202085494995,545.6514773845673,1.8326716621262154,2863
12,yolov5m6,1280,fp16,9.966527700424194,6.932465648651123,16.89899334907532,593.3424025058747,610.24139585495,1.6386957797233617,3205
13,yolov5m6,1280,fp32,10.479076433181763,6.25096378326416,16.73004021644592,1086.7218777656556,1103.4519179821013,0.9062470087765262,5691
14,yolov5l6,1280,fp16,10.448811960220336,6.706618881225586,17.15543084144592,1132.4213724136353,1149.5768032550811,0.8698853327315346,5928
15,yolov5l6,1280,fp32,10.668004894256592,7.153728485107422,17.821733379364012,2161.3133103847504,2179.1350437641145,0.458897672662203,11080
