,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n6,int8,8.544748401641845,4.419439697265625,12.96418809890747,308.7624173641205,321.72660546302797,3.1082291082542057,1704
1,yolov5n6,fp16,8.867929124832154,3.7082524776458743,12.576181602478028,244.84854245185852,257.42472405433654,3.884630754382872,1390
2,yolov5n6,fp32,8.852023649215699,4.916677427291869,13.768701076507568,206.53422617912292,220.3029272556305,4.539204324051677,1219
3,yolov5s6,int8,8.671354246139526,4.264110422134399,12.935464668273925,529.2275288581848,542.1629935264588,1.8444637718549814,2796
4,yolov5s6,fp16,9.041828680038453,5.876423692703247,14.9182523727417,275.19173679351803,290.10998916625977,3.446968520021928,1592
5,yolov5s6,fp32,8.342701387405395,5.478679990768433,13.821381378173829,688.4114598274232,702.2328412055971,1.4240290987860875,3619
6,yolov5m6,int8,8.272021627426147,4.610450649261475,12.882472276687622,1110.5156260967256,1123.3980983734132,0.8901563937556212,5700
7,yolov5m6,fp16,9.566690254211425,6.896585083007813,16.463275337219237,587.7457447528839,604.2090200901031,1.6550563906690343,3180
8,yolov5m6,fp32,9.841738986968993,6.961848831176758,16.80358781814575,1079.3214577674867,1096.1250455856323,0.9123046718321494,5638
