,model,precision,resolution,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n6,fp16,256,0.24371924400329592,0.8404638767242432,1.084183120727539,10.141628408432007,11.225811529159547,89.08041947813352,110
1,yolov5n6,fp16,448,1.0932781219482421,1.018265390396118,2.11154351234436,19.167963075637818,21.279506587982176,46.99357082672022,167
2,yolov5n6,fp16,640,2.243425130844116,1.9454683780670166,4.188893508911133,35.8370707988739,40.02596430778504,24.983782834321378,264
3,yolov5n6,fp16,832,3.5901308059692383,2.507836389541626,6.097967195510864,68.1953230857849,74.29329028129577,13.460165732513829,450
4,yolov5n6,fp16,1024,5.580936670303345,4.029936170578003,9.610872840881347,105.97678842544556,115.5876612663269,8.651442455400911,666
5,yolov5s6,fp16,256,0.29055061340332033,0.9028595924377442,1.1934102058410645,14.572713375091553,15.766123580932618,63.42713190510503,131
6,yolov5s6,fp16,448,1.2744545936584473,1.3087448120117189,2.5831994056701664,31.54699683189392,34.130196237564085,29.29956783838789,231
7,yolov5s6,fp16,640,2.462086009979248,2.1359723567962647,4.598058366775513,62.19229373931884,66.79035210609435,14.972222311562781,405
8,yolov5s6,fp16,832,4.184008979797364,3.0083611965179444,7.192370176315308,111.86833968162536,119.06070985794067,8.399076413983817,688
9,yolov5s6,fp16,1024,5.708690214157104,4.804820728302001,10.513510942459106,169.59895315170286,180.11246409416196,5.552086608937873,1008
10,yolov5m6,fp16,256,0.3092641830444336,1.0183655738830566,1.3276297569274902,26.237813854217528,27.565443611145017,36.27730480621356,199
11,yolov5m6,fp16,448,1.6060508728027343,1.6209608078002928,3.2270116806030273,63.78585457801819,67.01286625862122,14.922507509837333,418
12,yolov5m6,fp16,640,3.0997354984283447,3.3723194122314455,6.47205491065979,134.69117631912232,141.1632312297821,7.083997662055668,810
13,yolov5m6,fp16,832,4.7852356910705565,3.5309593200683596,8.316195011138916,241.8856906890869,250.20188570022583,3.996772435193111,1378
14,yolov5m6,fp16,1024,6.6518336772918705,4.947465944290162,11.599299621582032,360.04673557281495,371.646035194397,2.6907323240430365,1996
15,yolov5l6,fp16,256,0.2904427528381348,0.9902376651763916,1.2806804180145264,47.17461166381836,48.45529208183289,20.63758068594793,322
16,yolov5l6,fp16,448,1.7154144287109376,2.03649787902832,3.751912307739258,123.78862175941467,127.54053406715393,7.840644602236572,739
17,yolov5l6,fp16,640,3.603149127960205,3.1653121948242187,6.7684613227844235,258.8982938766479,265.6667551994323,3.764114178491449,1439
18,yolov5l6,fp16,832,4.399629974365235,2.91133828163147,7.310968255996705,538.379247713089,545.6902159690857,1.8325415606437256,2850
19,yolov5l6,fp16,1024,6.6425714015960695,4.650054550170898,11.292625951766968,693.9196030139924,705.2122289657594,1.4180128462414305,3673
