model,resolution,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time,,,,,,,,
yolov5n,320,fp16,0.581041384,1.24364562,1.824687004,11.60457349,13.42926049,74.4642641,124,,,,,,,,
yolov5n,480,fp16,1.352641058,1.399197865,2.751838923,21.10870552,23.86054444,41.91019205,177,,,,,,,,
yolov5n,640,fp16,2.384590578,1.888451052,4.27304163,36.10310178,40.37614341,24.76710046,263,,,,,,,,
yolov5n,960,fp16,5.243044662,2.932799292,8.175843954,123.9607534,132.1365974,7.567926068,734,,,,,,,,
yolov5s,320,fp16,0.752861786,0.884135056,1.636996841,18.13850904,19.77550588,50.56760653,151,,,,,,,,
yolov5s,480,fp16,1.733901596,1.330173779,3.064075375,35.91150966,38.97558503,25.65708762,252,,,,,,,,
yolov5s,640,fp16,2.474428463,2.151639891,4.626068354,60.54560728,65.17167563,15.34408913,391,,,,,,,,
yolov5s,960,fp16,5.41825695,4.001288414,9.419545364,176.7411603,186.1607057,5.371702885,1017,,,,,,,,
yolov5m,320,fp16,0.740398598,0.968326664,1.708725262,34.48542576,36.19415102,27.62877348,248,,,,,,,,
yolov5m,480,fp16,2.021679306,2.092765236,4.114444542,69.36513348,73.47957802,13.6092235,447,,,,,,,,
yolov5m,640,fp16,3.108989763,2.713508987,5.822498751,126.6204593,132.4429581,7.550420306,758,,,,,model,fp36_res,32_mult,resolution
yolov5m,960,fp16,5.875197411,4.860429907,10.73562732,315.1233902,325.8590175,3.068811806,1756,,,,,yolov5n,526.5040653,16.45325204,512
yolov5l,320,fp16,0.97485981,1.471101904,2.445961714,65.89051199,68.3364737,14.63347384,430,,,,,yolov5s,400.9453631,12.5295426,384
yolov5l,480,fp16,1.968646145,2.58923192,4.557878065,135.5842346,140.1421127,7.135613848,795,,,,,yolov5m,211.5601682,6.611255256,192
yolov5l,640,fp16,2.983632278,2.830510998,5.814143276,246.3254135,252.1395568,3.966057578,1363,,,,,yolov5l,76.74267027,2.398208446,64
yolov5l,960,fp16,5.998756504,4.551837778,10.55059428,609.2407688,619.7913631,1.613446168,3227,,,,,,,,
